review_id,review_text,source,date
R001,"The bed was incredibly comfortable, but the Wi-Fi was painfully slow all weekend.",Booking.com,2025-11-28
R002,พนักงานต้อนรับยิ้มแย้มแจ่มใสและให้ความช่วยเหลือดีมาก 5 ดาวสำหรับ Service Mind ค่ะ,Google Maps,2025-11-29
R003,"The air conditioning unit kept making a loud, annoying rattling noise all night. Couldn't sleep.",Tripadvisor,2025-11-25
R004,อาหารเช้าบุฟเฟต์ดีมาก หลากหลายและเติมตลอดเวลา คุ้มค่าเงินที่จ่ายไปสุดๆ,Facebook,2025-12-01
R005,I found a strand of hair in my bathroom upon arrival. Unacceptable for a hotel of this rating.,Expedia,2025-11-27
R006,ทำเลดีมาก เดินทางสะดวก ใกล้ BTS แต่ห้องพักมีขนาดเล็กไปหน่อยสำหรับราคานี้,Booking.com,2025-11-26
R007,We asked for an extra blanket three times and never received it. Poor follow-up from housekeeping.,Google Maps,2025-11-30
R008,Everything was perfect! Beautiful view and the pool area was very relaxing. Highly recommend.,Tripadvisor,2025-11-24
R009,น้ำในห้องอาบน้ำไหลอ่อนมาก สระผมแทบไม่ได้เลย,Facebook,2025-12-02
R010,"The hotel charges too much for parking, which is ridiculous considering the room rate.",Expedia,2025-11-23
R011,ห้องพักสะอาดเอี่ยม ไร้ที่ติ ชอบการตกแต่งที่ทันสมัยมากๆ,Booking.com,2025-12-03
R012,The gym equipment is old and some machines are out of order. Needs an upgrade.,Google Maps,2025-11-22
R013,พนักงานแก้ปัญหาให้รวดเร็วมาก เมื่อแจ้งเรื่องกุญแจห้องมีปัญหา,Tripadvisor,2025-12-01
R014,Room Service was slow. It took over an hour for a simple sandwich.,Facebook,2025-11-29
R015,โดยรวมแล้วดี แต่ไม่มีปลั๊กไฟเพียงพอใกล้เตียงเลย ชาร์จมือถือลำบาก,Expedia,2025-11-28
R016,ที่นอนนุ่มหลับสบายมากๆ ตื่นมาสดชื่นค่ะ,Booking.com,2025-11-26
R017,The front desk staff was rude and unhelpful when I inquired about local attractions.,Google Maps,2025-11-25
R018,กลิ่นบุหรี่ลอยมาจากห้องข้างๆ แจ้งพนักงานไปแล้วแต่ไม่มีการดำเนินการ,Tripadvisor,2025-11-24
R019,The swimming pool closes too early. We wanted to swim in the evening.,Facebook,2025-11-23
R020,"It's a great value for money. Clean, decent service, and good location.",Expedia,2025-11-22
R021,มินิบาร์ราคาสูงมากจนไม่กล้าแตะอะไรเลย,Booking.com,2025-12-03
R022,The key card stopped working twice in one day. Very inconvenient.,Google Maps,2025-12-02
R023,อาหารเช้าคนเยอะมาก คิวยาวจนต้องรอโต๊ะเกือบ 20 นาที,Tripadvisor,2025-12-01
R024,พนักงานทำความสะอาดห้องพักลืมเปลี่ยนผ้าเช็ดตัวผืนใหม่ให้,Facebook,2025-11-30
R025,The lobby is beautifully decorated and the atmosphere is welcoming.,Expedia,2025-11-29
R026,"There was a strange, persistent odor in the hallway near my room.",Booking.com,2025-11-28
R027,ติดใจรสชาติกาแฟที่คาเฟ่ของโรงแรมมาก อร่อยจนต้องซื้อกลับบ้าน,Google Maps,2025-11-27
R028,"The check-out was fast and efficient, unlike the check-in I experienced last time.",Tripadvisor,2025-11-26
R029,ห้องน้ำมีรอยราวดำๆ ตรงยาแนว ควรจะปรับปรุงความสะอาดจุดนี้,Facebook,2025-11-25
R030,"Great location, friendly staff, excellent value. Perfect short stay.",Expedia,2025-11-24
